日付,開始価格,最高価格,最低価格,終値,ボリューム,時価総額
2018年8月22日,"6,486.25","6,816.79","6,310.11","6,376.71","4,668,110,000","111,714,827,567"
2018年8月21日,"6,301.07","6,500.87","6,298.24","6,488.76","3,377,180,000","108,513,649,180"
2018年8月20日,"6,500.51","6,536.92","6,297.93","6,308.53","3,665,100,000","111,936,076,638"
2018年8月19日,"6,422.57","6,537.98","6,361.55","6,506.07","3,311,170,000","110,582,598,384"
2018年8月18日,"6,583.43","6,617.35","6,353.73","6,423.76","3,984,520,000","113,338,906,417"
2018年8月17日,"6,340.91","6,582.50","6,324.97","6,580.63","4,992,990,000","109,151,601,195"
2018年8月16日,"6,294.23","6,473.50","6,276.41","6,334.73","4,328,420,000","108,335,763,931"
2018年8月15日,"6,221.42","6,588.49","6,221.42","6,308.52","4,895,450,000","107,070,056,730"
2018年8月14日,"6,287.66","6,287.94","5,971.05","6,199.71","5,301,700,000","108,199,097,492"
2018年8月13日,"6,341.36","6,537.05","6,225.72","6,297.57","4,083,980,000","109,111,523,954"
2018年8月12日,"6,283.65","6,409.85","6,237.50","6,322.69","5,665,250,000","108,106,451,582"
2018年8月11日,"6,185.79","6,455.74","6,109.03","6,295.73","4,047,850,000","106,409,456,302"
2018年8月10日,"6,571.42","6,591.26","6,124.52","6,184.71","4,528,680,000","113,028,788,092"
2018年8月9日,"6,305.56","6,625.73","6,249.07","6,568.23","4,267,040,000","108,444,366,975"
2018年8月8日,"6,746.85","6,746.85","6,226.22","6,305.80","5,064,430,000","116,020,470,612"
2018年8月7日,"6,958.32","7,146.56","6,748.24","6,753.12","4,682,800,000","119,643,646,094"
2018年8月6日,"7,062.94","7,166.55","6,890.54","6,951.80","3,925,900,000","121,430,864,537"
2018年8月5日,"7,031.08","7,102.77","6,940.70","7,068.48","3,679,110,000","120,869,247,490"
2018年8月4日,"7,438.67","7,497.49","6,984.07","7,032.85","4,268,390,000","127,859,350,021"
2018年8月3日,"7,562.14","7,562.14","7,328.65","7,434.39","4,627,150,000","129,965,898,111"
2018年8月2日,"7,634.19","7,712.77","7,523.44","7,567.15","4,214,110,000","131,189,721,712"
2018年8月1日,"7,769.04","7,769.04","7,504.95","7,624.91","4,797,620,000","133,492,645,169"
2018年7月31日,"8,181.20","8,181.53","7,696.93","7,780.44","5,287,530,000","140,559,547,538"
2018年7月30日,"8,221.58","8,235.50","7,917.50","8,180.48","5,551,400,000","141,239,444,979"
2018年7月29日,"8,205.82","8,272.26","8,141.18","8,218.46","4,107,190,016","140,951,371,776"
2018年7月28日,"8,169.06","8,222.85","8,110.77","8,192.15","3,988,750,080","140,305,137,664"
2018年7月27日,"7,950.40","8,262.66","7,839.76","8,165.01","5,195,879,936","136,532,811,776"
2018年7月26日,"8,176.85","8,290.33","7,878.71","7,951.58","4,899,089,920","140,404,998,144"
2018年7月25日,"8,379.66","8,416.87","8,086.36","8,181.39","5,845,400,064","143,869,018,112"
2018年7月24日,"7,716.51","8,424.27","7,705.50","8,424.27","7,277,689,856","132,468,064,256"
2018年7月23日,"7,414.71","7,771.50","7,409.10","7,711.11","5,132,480,000","127,271,731,200"
2018年7月22日,"7,417.80","7,537.95","7,383.82","7,418.49","3,695,460,096","127,307,890,688"
2018年7月21日,"7,352.72","7,437.64","7,262.41","7,419.29","3,726,609,920","126,178,377,728"
2018年7月20日,"7,467.40","7,594.67","7,323.26","7,354.13","4,936,869,888","128,131,997,696"
2018年7月19日,"7,378.20","7,494.46","7,295.46","7,466.86","5,111,629,824","126,585,470,976"
2018年7月18日,"7,315.32","7,534.99","7,280.47","7,370.78","6,103,410,176","125,490,839,552"
2018年7月17日,"6,739.65","7,387.24","6,684.17","7,321.04","5,961,950,208","115,602,178,048"
2018年7月16日,"6,357.01","6,741.75","6,357.01","6,741.75","4,725,799,936","109,029,466,112"
